Measurement time,Year,Month,WaterYear,WindDirQuadraQ_level,WindDirQuadraQ_flags,WindDirQuadraUNESCO_Q_level,WindDirQuadraAvg,WindDirQuadraStd
PST,Year,Month,WaterYear,Quality level,Quality flags,UNESCO QC,degrees,degrees
measurementTime,Year,Month,WaterYear,Quadra,Quadra,Quadra,Quadra,Quadra
measurementTime,year,month,waterYear,WindDir_QL,WindDir_QC,WindDir_UQL,WindDir_Avg,WindDir_Std
2012-11-28 11:00:00,2012,Nov,2012-2013,1,,2,302.3,0
2012-11-28 12:00:00,2012,Nov,2012-2013,1,,2,287.6,33.3
2012-11-28 13:00:00,2012,Nov,2012-2013,1,,2,256.3,25.41
2012-11-28 14:00:00,2012,Nov,2012-2013,1,,2,78.03,53.64
2012-11-28 15:00:00,2012,Nov,2012-2013,1,,2,0.765,49.93
2012-11-28 16:00:00,2012,Nov,2012-2013,1,,2,224.4,36.1
2012-11-28 17:00:00,2012,Nov,2012-2013,1,,2,246.6,57.38
2012-11-28 18:00:00,2012,Nov,2012-2013,1,,2,47.85,54.67
2012-11-28 19:00:00,2012,Nov,2012-2013,1,,2,93.8,35.19
2012-11-28 20:00:00,2012,Nov,2012-2013,1,,2,130.5,37.77
2012-11-28 21:00:00,2012,Nov,2012-2013,1,,2,142.1,37.53
2012-11-28 22:00:00,2012,Nov,2012-2013,1,,2,159.3,38.32
2012-11-28 23:00:00,2012,Nov,2012-2013,1,,2,156.3,39.11
2012-11-29 00:00:00,2012,Nov,2012-2013,1,,2,167,43.63
2012-11-29 01:00:00,2012,Nov,2012-2013,1,,2,171.5,51.42
2012-11-29 02:00:00,2012,Nov,2012-2013,1,,2,151.2,47.7
2012-11-29 03:00:00,2012,Nov,2012-2013,1,,2,164.5,40.44
2012-11-29 04:00:00,2012,Nov,2012-2013,1,,2,164.1,37.32
2012-11-29 05:00:00,2012,Nov,2012-2013,1,,2,143.6,25.61
2012-11-29 06:00:00,2012,Nov,2012-2013,1,,2,140.2,22.09
2012-11-29 07:00:00,2012,Nov,2012-2013,1,,2,147.9,32.21
2012-11-29 08:00:00,2012,Nov,2012-2013,1,,2,149,30.41
2012-11-29 09:00:00,2012,Nov,2012-2013,1,,2,156.7,37.87
2012-11-29 10:00:00,2012,Nov,2012-2013,1,,2,154.2,35.52
2012-11-29 11:00:00,2012,Nov,2012-2013,1,,2,156.8,35.37
2012-11-29 12:00:00,2012,Nov,2012-2013,1,,2,154.5,42.28
2012-11-29 13:00:00,2012,Nov,2012-2013,1,,2,153,41.2
2012-11-29 14:00:00,2012,Nov,2012-2013,1,,2,154.3,36.29
2012-11-29 15:00:00,2012,Nov,2012-2013,1,,2,158.5,35
2012-11-29 16:00:00,2012,Nov,2012-2013,1,,2,156.6,34.33
2012-11-29 17:00:00,2012,Nov,2012-2013,1,,2,161.2,36.49
2012-11-29 18:00:00,2012,Nov,2012-2013,1,,2,160.5,35.57
2012-11-29 19:00:00,2012,Nov,2012-2013,1,,2,155.5,34.3
2012-11-29 20:00:00,2012,Nov,2012-2013,1,,2,150.8,32.93
2012-11-29 21:00:00,2012,Nov,2012-2013,1,,2,154.3,33.67
2012-11-29 22:00:00,2012,Nov,2012-2013,1,,2,140.5,26.9
2012-11-29 23:00:00,2012,Nov,2012-2013,1,,2,134.3,13.25
2012-11-30 00:00:00,2012,Nov,2012-2013,1,,2,134.4,11.88
2012-11-30 01:00:00,2012,Nov,2012-2013,1,,2,149.4,31.71
2012-11-30 02:00:00,2012,Nov,2012-2013,1,,2,149.9,35.29
2012-11-30 03:00:00,2012,Nov,2012-2013,1,,2,122.5,20.37
2012-11-30 04:00:00,2012,Nov,2012-2013,1,,2,143.9,27.95
2012-11-30 05:00:00,2012,Nov,2012-2013,1,,2,159.8,32.74
2012-11-30 06:00:00,2012,Nov,2012-2013,1,,2,147.5,25.66
2012-11-30 07:00:00,2012,Nov,2012-2013,1,,2,144.4,27.57
2012-11-30 08:00:00,2012,Nov,2012-2013,1,,2,157.4,36.4
2012-11-30 09:00:00,2012,Nov,2012-2013,1,,2,152,32.12
2012-11-30 10:00:00,2012,Nov,2012-2013,1,,2,153.3,34.31
2012-11-30 11:00:00,2012,Nov,2012-2013,1,,2,156.4,34.43
2012-11-30 12:00:00,2012,Nov,2012-2013,1,,2,149,32.38
2012-11-30 13:00:00,2012,Nov,2012-2013,1,,2,151.4,35.37
2012-11-30 14:00:00,2012,Nov,2012-2013,1,,2,160.1,37.93
2012-11-30 15:00:00,2012,Nov,2012-2013,1,,2,161.2,41.27
2012-11-30 16:00:00,2012,Nov,2012-2013,1,,2,155.4,41.46
2012-11-30 17:00:00,2012,Nov,2012-2013,1,,2,157.9,36.73
2012-11-30 18:00:00,2012,Nov,2012-2013,1,,2,158.3,42.12
2012-11-30 19:00:00,2012,Nov,2012-2013,1,,2,159.5,41.12
