action,event_pk,rn,is_replicate,date,work_area,organization,survey,sampling_bout,site_id,project_specific_id,hakai_id,source,lat,long,gather_lat,gather_long,collection_method,line_out_depth,pressure_transducer_depth,Filtered,filter_type,volume,installed,collected,preserved,analyzed,lab_technician,nh4_,no2_no3_um,no2_no3_ugl,tp,tdp,tn,tdn,srp,po4,sio2,po4pfilt,no3nfilt,po4punfl,no3nunfl,nh4nunfl,nh4__flag,no2_no3_flag,tp_flag,tdp_flag,tn_flag,tdn_flag,srp_flag,po4_flag,sio2_flag,po4pfilt_flag,no3nfilt_flag,po4punfl_flag,no3nunfl_flag,nh4nunfl_flag,analyzing_lab,metadata_qc_flag,comments,quality_log,no2_no3_units,Sample Status,quality_level
,41,1,,1/6/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,Q136NUTA,QNUT160,M,50.03,-125.08,,,,0,,,0.45nm,13,,1/6/15 9:07,1/6/15 14:45,,,,25.98719513,,,,,,,2.089213149,46.50246054,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,41,1,,1/6/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,Q137NUTA,QNUT161,M,50.03,-125.08,,,,5,,,0.45nm,13,,1/6/15 9:07,1/6/15 14:45,,,,26.01169795,,,,,,,2.105957587,49.76362547,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,41,1,,1/6/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,Q138NUTA,QNUT162,M,50.03,-125.08,,,,10,,,0.45nm,13,,1/6/15 9:07,1/6/15 14:45,,,,26.27474668,,,,,,,2.14477295,49.2281932,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,41,1,,1/6/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,Q139NUTA,QNUT163,M,50.03,-125.08,,,,30,,,0.45nm,13,,1/6/15 9:07,1/6/15 14:45,,,,27.91748073,,,,,,,2.310156622,51.64992366,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,41,1,,1/6/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,Q140NUTA,QNUT164,M,50.03,-125.08,,,,50,,,0.45nm,13,,1/6/15 9:07,1/6/15 14:45,,,,29.04731071,,,,,,,2.466365242,55.87206151,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,41,1,,1/6/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,Q141NUTA,QNUT165,M,50.03,-125.08,,,,100,,,0.45nm,13,,1/6/15 9:07,1/6/15 14:45,,,,29.75604479,,,,,,,2.486420153,51.93853761,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,41,1,,1/6/15,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,Q142NUTA,QNUT166,M,50.03,-125.08,,,,240,,,0.45nm,13,,1/6/15 9:07,1/6/15 14:45,,,,31.47173222,,,,,,,2.750452445,71.08269257,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,81,1,,1/13/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT194,QNUT194,M,50.03,-125.08,,,,0,,,0.45nm,13,,1/13/15 8:54,1/13/15 12:45,5/11/15 0:00,,,26.48,,,,,,,2.114151003,45.69363578,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,81,1,,1/13/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT195,QNUT195,M,50.03,-125.08,,,,5,,,0.45nm,13,,1/13/15 8:54,1/13/15 12:45,5/11/15 0:00,,,27.381,,,,,,,2.158223989,48.20845227,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,81,1,,1/13/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT196,QNUT196,M,50.03,-125.08,,,,10,,,0.45nm,13,,1/13/15 8:54,1/13/15 12:45,5/11/15 0:00,,,26.733,,,,,,,2.202514956,48.06029724,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
,81,1,,1/13/15,QUADRA,HAKAI,QOMA,1,QU24,QNUT197,QNUT197,M,50.03,-125.08,,,,30,,,0.45nm,13,,1/13/15 8:54,1/13/15 12:45,5/11/15 0:00,,,29.126,,,,,,,2.382810334,51.60521335,,,,,,,,,,,,,,,,,,,,UBC,,,1: Checked by KP,uM,Results,Technicianm
