ACTION,event_pk,Replicate Number,Date,Work Area,Organization,Survey,Sampling Bout,Site ID,Source,Lat,Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Acidified,Acidification Method,Volume (ml),part,screen_size,Collected,Preserved,Analyzed,Lab Technician,filter_portion,Project Specific ID,Hakai ID,Weight Before (mg),Weight After (mg),Filter Size (mm),Filter Type,total_beam_n,ug N,%N,delta_air,corr_delta15n,total_beam_c,ug C,%C,delta_pdb,corr_delta13c,C:N,Analyzing Lab,C Flag,N Flag,C:N Flag,Comments,Quality Log,Sample Status,Quality Level
,41,1,2015-01-06,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,5,,FALSE,None,3250,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF104,130,,47,,,6.258730521,,,7.716122982,,38.59728633,,,-26.1100759,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,41,1,2015-01-06,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,30,,FALSE,None,3450,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF105,130.8,,47,,,3.501449938,,,6.494254591,,41.07305781,,,-25.59887602,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,41,1,2015-01-06,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,100,,FALSE,None,3225,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF106,132.4,,47,,,4.695893763,,,10.78817158,,32.3205595,,,-22.70796868,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,41,1,2015-01-06,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,240,,FALSE,None,3800,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF107,131.6,,47,,,5.36081584,,,7.042402302,,40.4995133,,,-22.4511185,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,41,1,2015-01-06,QUADRA,HAKAI,"QOMA,QOMB",1,QU24,M,50.03,-125.08,,0,,FALSE,None,3200,,,2015-01-06 09:07:02,2015-01-06 14:45:19,,"Rebecca,Katie,Other",1,,QF108,132.4,,47,,,6.467104576,,,7.196342005,,41.52498284,,,-26.61008549,,UCDAVISSIF,SVC,SVD,,,"1: Checked by KP2: Results checked by RP.",Results,Technician
,81,1,2015-01-13,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,30,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF120,131.5,,47,,,14.13265312,,,6.669739251,,95.64937915,,,-26.68081293,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. N: Precision decreases for samples containing less than 20ugN. Results checked by RP.",Results,Technicianmr
,81,1,2015-01-13,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,100,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF121,131.7,,47,,,10.57976298,,,7.995273734,,113.5873764,,,-27.3269011,,UCDAVISSIF,,SVC,,,"1: Checked by KP2: N: Precision decreases for samples containing less than 20ugN. Results checked by RP.",Results,Technicianmr
,81,1,2015-01-13,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,0,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF123,130,,47,,,27.43654303,,,6.924775189,,178.5575904,,,-27.18287946,,UCDAVISSIF,,,,,"1: Checked by KP2: Results checked by RP.",Results,Technicianmr
,81,1,2015-01-13,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,5,,FALSE,None,2500,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF124,130.6,,47,,,23.82771979,,,6.005799453,,93.99110127,,,-26.98987621,,UCDAVISSIF,SVC,,,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. Results checked by RP.",Results,Technicianmr
,81,1,2015-01-13,QUADRA,HAKAI,QOMA,1,QU24,M,50.03,-125.08,,240,,FALSE,None,2000,,,2015-01-13 08:54:42,2015-01-13 12:45:09,,"Kate,Rebecca,Other",1,,QF125,131.8,,47,,,15.2582972,,,7.451103876,,87.2176961,,,-24.11039464,,UCDAVISSIF,SVC,SVC,,,"1: Checked by KP2: C: Precision decreases for samples containing less than 100ugC. N: Precision decreases for samples containing less than 20ugN. Results checked by RP.",Results,Technicianmr
