"Date","C.N","delta15n","delta13c","POC_ug.L","PN_ug.L","chl_20um","chl_GF.F","chl_3um","phaeo.chla","NO3","PO4","Si","SST","SSS","log10.N2","Rain2Day","WindSp2Day","WindDir2Day","Bacillariophyta","Chlorophyta","Ciliophora","Cryptophyta","Dinoflagellata"
2015-03-13,4.66834046385566,6.581792666,-20.28837903,347.24637425,72.259276055,6.092060633,0.1259883865,0.4146690875,0.492431544841233,5.659312683,0.5835,13.30681115,9.06426666666667,27.2487333333333,-3.46715798156997,5.6,1.2891875,172.90625,NA,NA,NA,NA,NA
2015-03-18,4.67909344914445,6.97326223,-18.86415054,269.2198299,30.02808319,3.3721345105,0.0540445375,0.18225023,0.645726845582484,5.9650884325,0.6375,12.360599205,9.03445,27.4909,-3.43023664456664,0,0.73175,198.661833333333,NA,NA,NA,NA,NA
2015-03-24,4.63066462365213,4.372459711,-21.106864285,114.70044115,20.58688611,1.628918658,0.050866055,0.1471454525,0.589181850751775,12.38150814,1.3945,19.7124083,9.18326666666667,27.8285666666667,-3.8425877820207,15.2,0.870125,161.858541666667,NA,NA,NA,NA,NA
2015-03-31,5.30176003009035,4.3965088915,-22.67433907,61.7312537291022,12.4941421156347,0.06183726,0.083173532,0.0521086905,1.10660241574368,15.01576731,1.5580641945,25.41880955,9.53095,27.7071,-3.76001828538093,34,1.93339583333333,169.04375,NA,NA,NA,NA,NA
2015-04-06,4.51299730571938,2.097053091,-22.92329542,149.784538133333,21.1879676166667,0.0631351335,0.249125921,0.890468098,0.542339256652478,13.427845735,1.3095,23.8815,9.81135,27.2023,-3.53340929319469,0,1.437375,190.890625,NA,NA,NA,NA,NA
2015-04-14,4.52853616696755,7.422307596,-20.27746321,488.8179268,96.719434595,6.265704967,0.106277197,0.7669057395,0.780525167274249,1.0299540675,0.156232411,4.5690585065,10.0373333333333,26.9176666666667,-3.31852717860227,3.2,2.96522916666667,178.606666666667,NA,NA,NA,NA,NA
2015-04-22,4.81526730421965,7.360900543,-19.24183499,408.0829782,56.952038,5.833273609,0.0928059625,0.346643948,0.366672923265659,1.4508604605,0.1155,8.2525,10.30085,27.7974,-3.27473659867757,7.2,1.453875,235.585,NA,NA,NA,NA,NA
2015-05-01,5.12240439849303,7.063315328,-18.99534846,266.359856066667,50.1449187,5.7974302915,1.349505018,1.00623436,0.381000357475841,0.478000021,0.1383324515,5.1998395795,10.6507,27.7602,-3.7589872743354,3.6,1.45202083333333,191.31,NA,NA,NA,NA,NA
2015-05-05,5.45095686372708,7.1134013735,-19.238265735,246.4883366,31.92401778,2.716637375,0.049836147,0.2061341795,0.545037954624536,0.6039121655,0.1995,4.0733438115,10.96275,27.79115,-3.61843516157999,0,1.489625,202.4525,NA,NA,NA,NA,NA
2015-05-13,NA,NA,-20.70319725,155.8823897,NA,0.6323607915,0.1290601885,0.1381754515,0.677685262010136,0.0185,0.103,1.245,12.9966,27.68585,-3.1449008319229,0,1.71245833333333,177.021125,NA,NA,NA,NA,NA
2015-05-21,6.84772704395099,7.2969471,-21.130878425,190.262230458333,39.1988356375,0.404228543,0.1473902265,0.1675251855,0.90915677898606,0.2615,0.109,0.4915,15.16085,27.6177,-3.07572560874539,0,1.36860416666667,204.469604166667,NA,NA,NA,NA,NA
