file,RUNINFO,IVOL,METHODNAME,1_C04:0_AREA,1_C06:0_AREA,1_C08:0_AREA,1_C10:0_AREA,1_C11:0_AREA,1_C12:0_AREA,1_C12:1_AREA,1_C13:0_AREA,1_C14:0_AREA,1_C14:1_AREA,1_C15:0_AREA,1_C15:1_AREA,1_C16:0_AREA,1_C16:1n-7_AREA,1_C16:1n-7t_AREA,1_C16:1n-9_AREA,1_C17:0_AREA,1_C17:1_AREA,1_C18:0_AREA,1_C18:1n-12_AREA,1_C18:1n-7_AREA,1_C18:1n-7t_AREA,1_C18:1n-9c_AREA,1_C18:1n-9t_AREA,1_C18:2n-6TT_AREA,1_C18:2n-6c_AREA,1_C18:2n-6t_AREA,1_C18:3n-3_AREA,1_C18:3n-6_AREA,1_C18:4n-3 SDA_AREA,1_C18:5n-3?_AREA,1_C19:0_AREA,1_C20:0_AREA,1_C20:1n-12_AREA,1_C20:1n-15_AREA,1_C20:1n-9_AREA,1_C20:2n-6_AREA,1_C20:3n-3_AREA,1_C20:3n-6_AREA,1_C20:4n-6_AREA,1_C20:5n-3_AREA,1_C21:0_AREA,1_C22:0_AREA,1_C22:1n-9_AREA,1_C22:2n-6_AREA,1_C22:3_AREA,1_C22:4n-6_AREA,1_C22:5n-3_AREA,1_C22:5n-6?_AREA,1_C22:6n-3_AREA,1_C23:0_AREA,1_C24:0_AREA,1_C24:1n-9_AREA,1_Diatom II_AREA,1_Diatom III_AREA,1_UNK I_AREA,1_UNK II_AREA,1_ant-15:0_AREA,1_iso-15:0_AREA,1_Total FA_G_AREA
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-04 09_10_29_GLC455.DATA,N.A.,0.5,22min FAMEs AKM,0,0,0,0,4.102821055,0,0,2.211853914,1253.646716,0,2.37177094,0,1246.026749,1149.851545,0,0,1199.011691,0,1213.962565,0,3.993385552,3.874258678,1155.281409,0,0,1127.865571,0,1119.07702,1117.914987,14.67122133,7.794188704,7.824339039,2.541371203,0,0,0,1091.420074,0,1098.289906,1098.033903,1090.476829,0,5.546819235,0,0,0,1080.810243,1066.063316,0,1048.174079,7.745905555,0,0,0,2.384338568,5.01537954,1.528826632,0,0,18563.69259
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-04 09_37_10_GLC455.DATA,N.A.,0.5,22min FAMEs AKM,2.752012519,0,0,0,0,0,0,1.991455281,1236.056028,0,1.908644133,0,1223.987454,1149.015279,0,0,1182.324295,0,1157.895359,0,0,0,1139.357421,0,0,1135.27639,0,1126.802157,1122.834896,0,4.784201986,6.576936653,3.05692553,0,0,0,1102.910112,0,1113.36448,1107.43131,1107.399354,0,0,0,0,0,1086.858918,1083.553566,0,1064.256122,0,0,0,0,0,0,0,0,0,18216.26455
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-04 10_03_17_GLC37.DATA,N.A.,0.5,22min FAMEs AKM,258.7723994,395.5890392,454.6942771,477.6393827,491.8326648,525.861142,0,598.7587514,720.8445677,464.4505926,714.3528196,464.8115283,1424.932151,468.4537428,0,0,666.612167,463.9539847,639.8075572,0,0,0,462.752225,752.3925684,5.000435875,452.5625617,449.4786303,453.6715779,449.5829488,0,0,5.724905119,667.4630045,0,0,456.9915355,446.2290992,444.5759406,444.8955974,449.1293267,431.1023759,688.069278,725.3591343,683.4953722,465.4357962,0,0,0,0,424.8317546,743.9495524,758.6497321,760.4488158,0,0,0,0,0,3.291864661,20612.96456
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-04 10_29_19_GLC37.DATA,N.A.,0.5,22min FAMEs AKM,258.1474113,395.9014151,453.6027996,478.420533,490.0525933,510.33723,0,546.0854375,613.1588387,468.799766,611.0963635,467.5520136,1231.772935,470.8743676,0,0,584.1921056,469.2315669,569.2882458,0,0,0,464.066797,604.3179625,5.369981692,453.8157998,448.2710463,455.6909407,451.1780818,0,0,4.53973022,578.6337135,0,0,456.8748259,447.2536442,445.5618314,447.0046057,450.6452843,438.5389027,584.5478781,600.4239498,563.2066679,452.9152982,0,0,0,0,426.1553403,606.9627703,601.5768188,603.6001799,0,0,0,0,0,4.189851161,18973.47934
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-05 07_49_30_GLC37MID.DATA,N.A.,4,22min FAMEs AKM,1287.35248,3194.250168,4411.024826,5416.443729,5920.309066,6377.716026,0,6835.798224,7362.088121,6436.154656,7532.607804,6572.836068,0,6729.563951,0.941620355,4.555737631,7549.374518,6754.603964,0,0,6.554725193,7234.119621,6719.72519,0,75.53985816,6581.842725,6461.517368,6796.3856,6562.689624,13.00179868,7157.744537,55.84290016,0,13.02816234,0,0,0,8176.06597,0,0,6675.629059,0,0,0,0,6784.610507,9.219800083,0,0,6115.453621,0,0,0,0,0,49.24071587,13.63488783,0,33.09007915,238702.7003
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-05 08_41_41_POM-30.DATA,N.A.,4,22min FAMEs AKM,14.72937215,0,5.820441964,9.557419234,0,18.01628057,4.399701174,3.737668838,247.8529915,5.70658749,20.36196424,0,524.335011,187.6376111,19.2913586,36.05792951,39.52677998,0,596.0021202,7.250574662,245.8241341,3.07459063,110.3744439,0,7.877077198,186.0445822,24.14690828,88.43887155,6.189628989,365.6164341,3.729368462,8105.616329,28.72091244,10.77585625,8.085941348,5.204060353,10.49537302,10.68482529,80.14511997,7.338296985,218.5831712,16.60985178,73.88074065,27.03812678,0,0,0,15.66397658,2.926860737,245.9254256,57.90289022,9.689904039,6.13402908,5.82259143,7.553852343,0,16.71173325,23.25019542,25.0615431,14257.4538
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-05 09_07_52_POM-32.DATA,N.A.,4,22min FAMEs AKM,4.419647747,2.487401129,3.017896113,8.154983623,1.488207676,22.86164152,0,6.819872157,647.0173076,10.16133662,41.33825959,0,1155.293207,494.9902247,59.77798259,76.61757508,60.10595013,0,447.2495713,28.31142248,209.1266668,0,319.7168403,0,0,236.8911678,65.73336986,215.7207486,13.127853,438.5386453,2.406970701,9769.752695,24.80206488,0,0,7.221485174,13.3418735,10.46019128,181.4760522,23.12929882,678.5691235,19.63592348,20.6315558,31.31834011,0,0,0,27.25830317,23.73320973,820.7309732,4.584447965,14.35267743,37.67138055,6.008442968,34.03384764,0,40.01483338,55.88515103,64.99188195,17179.37674
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-05 10_00_11_POM-56.DATA,N.A.,4,22min FAMEs AKM,5.315250977,0,0,2.958049298,0,13.34054072,0,2.228636278,125.6471348,5.058764312,42.92300863,0,363.6966325,118.6977874,3.826409232,20.49254412,39.23291361,0,453.9958176,10.83359902,39.22123884,1.763946877,57.20407148,0,6.566416641,79.24861895,23.5495768,28.23067528,2.20912773,75.8463934,0,10545.72534,20.00992831,4.570967989,1.859043786,3.630065669,6.349277056,2.847193878,29.94847071,3.778686668,109.8931033,19.78419017,66.52807864,13.92646439,0,0,0,11.43507795,0,80.65049523,45.92146458,8.681523739,3.358286291,1.512267881,3.143521543,0,4.794037544,14.09182812,13.92055167,13132.35734
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-05 14_47_41_POM-83.DATA,N.A.,4,22min FAMEs AKM,2.350280035,0,1.629072742,4.237062133,0,20.771292,1.13035632,4.502071601,400.1205717,2.523631112,23.56320507,3.174821448,615.1132434,313.5644684,7.773313992,29.00875406,27.25215705,0,630.2147197,20.65976614,108.7485484,5.404763042,101.0172004,1.97585067,0,101.8499467,7.522539852,32.66545973,5.054941571,141.6224648,0,5490.079845,30.18797172,2.472407003,0,6.985762025,5.686051768,5.111657354,33.98270474,24.88157781,299.8464201,11.71268199,13.66649173,44.82695274,0,0,0,10.05301518,3.14722809,222.8317485,8.295587082,8.72187775,9.213738819,7.779301262,29.06823873,0,7.097628516,23.71845895,33.69517526,9926.825861
C:\CompassCDS\Data\2018\06\04_reprocessed\2018-06-05 15_39_55_POM-85.DATA,N.A.,4,22min FAMEs AKM,15.55664625,0,0,2.826426198,0,7.507543113,1.363741614,2.375233206,173.7703937,2.553230727,18.03454529,0,438.364518,146.7219375,9.528616025,22.23281126,18.58890301,0,79.60717178,15.8006993,69.53125396,0,124.6225787,1.437270235,0,50.73515159,6.246455052,25.71854272,1.698917267,87.73443947,0,2670.332133,10.9545222,5.082994328,0,7.319740339,5.182622689,0,37.38300867,11.12780842,233.7979435,6.10211124,4.733063732,16.89331484,0,0,0,7.985334552,0,153.4230971,6.602449052,6.186602578,7.364785128,2.602162346,17.39716896,11.35969965,5.635603401,11.51260613,19.88339643,4747.533256
