action,event_pk,rn,date,work_area,organization,survey,sampling_bout,site_id,source,project_specific_id,hakai_id,line_out_depth_range,collected,preserved,analyzed,acidified,volume,lab_technician,filter_portion,pre_weight_mg,post_weight_mg,filter_size_mm,filter_type,analyzing_lab,row_flag,quality_level,comments,quality_log
,335,1,2015-03-13,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU24,M,,QF261,030,2015-03-13T16:00:01.000Z,2015-03-13T23:15:12.000Z,,,1480,Kate,1,132,,47,,,Collected,Raw,,1: QF333 is 25mm GFF
,335,2,2015-03-13,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU24,M,,QF263,030,2015-03-13T16:00:01.000Z,2015-03-13T23:15:12.000Z,,,5500,Kate,1,131.9,,47,,,Collected,Raw,,1: QF333 is 25mm GFF
,335,3,2015-03-13,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU24,M,,QF333,030,2015-03-13T16:00:01.000Z,2015-03-13T23:15:12.000Z,,,200,Kate,1,36.5,,25,,,Collected,Raw,,1: QF333 is 25mm GFF
,416,1,2015-03-18,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF453,030,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,5000,Kate;Katie;Rebecca,1,129.4,,47,,,Collected,Technicianm,,1: Bottom depth is 265 m2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.3: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m4: POMFA metadata QC'd by EM.
,416,2,2015-03-18,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF454,030,2015-03-18T16:02:55.000Z,2015-03-18T16:02:14.000Z,,,4700,Kate;Katie;Rebecca,1,133.5,,47,,,Collected,Technicianm,,1: Bottom depth is 265 m2: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.3: Every sample taken today that says station QU24 is now QU39. QU39 is now more west of QU24 and will be our main station instead of QU24.;;Bottom depth is 265 m4: POMFA metadata QC'd by EM.
,504,1,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF452,030,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,,300,Rebecca;Other,1,131.2,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,504,2,2015-03-24,QUADRA,HAKAI,QOMA1;QOMA2;QOMA,1,QU39,M,,QF541,030,2015-03-24T16:04:16.000Z,2015-03-24T18:19:25.000Z,,,9100,Rebecca;Other,1,130.1,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,531,1,2015-03-31,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF549,030,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,,4900,Katie;Other,1,129.1,,47,,,Collected,Technicianm,,1: Ctd only dropped to 165m2: POMFA metadata QC'd by EM.
,531,2,2015-03-31,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF550,030,2015-03-31T15:57:34.000Z,2015-03-31T19:01:00.000Z,,,4900,Katie;Other,1,128.7,,47,,,Collected,Technicianm,,1: Ctd only dropped to 165m2: POMFA metadata QC'd by EM.
,614,1,2015-04-06,QUADRA,HAKAI,QOMA;QOMA1;QOMA2,1,QU39,M,,QF561,030,2015-04-06T15:44:21.000Z,2015-04-06T20:45:38.000Z,,,10000,Leo;Rebecca;Other,1,129.8,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,762,1,2015-04-14,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF532,030,2015-04-14T15:33:48.000Z,2015-04-14T16:15:19.000Z,,,3000,Kate;Katie;Other,1,130.7,,47,,,Collected,Technicianm,,1: POMFA metadata QC'd by EM.
,762,2,2015-04-14,QUADRA,HAKAI,QOMA2;QOMA;QOMA1,1,QU39,M,,QF562,030,2015-04-14T15:33:48.000Z,2015-04-14T16:15:19.000Z,,,3500,Kate;Katie;Other,1,130.2,,47,,,Collected,Technicianm,,1: EM deleted old ID without the F; reuploaded the QF id2: POMFA metadata QC'd by EM.
